_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,LATITUDE,LONGITUDE,geometry,neighbourhood
28988,12,508042,ACE ACUMEN HIGH SCHOOL,,1440 DON MILLS RD,Private,508042,1440,Don Mills Rd,1440 Don Mills Rd,M3B 3M1,North York,Toronto,,43.750732060299995,-79.3475085093,POINT (-79.3475085093 43.7507320603),Banbury-Don Mills
28989,13,10476656,ADAM BECK JUNIOR PUBLIC SCHOOL,Toronto District School Board,400 SCARBOROUGH RD,English Public,10476656,400,Scarborough Rd,400 Scarborough Rd,M4E 3M8,former Toronto,Toronto,Adam Beck Junior Public School,43.6831518038,-79.2884878926,POINT (-79.2884878926 43.6831518038),East End-Danforth
28990,14,5336735,ADELFIHA'S CHRISTIAN ACADEMY,,4340 DUFFERIN ST,Private,5336735,4340,Dufferin St,4340 Dufferin St,M3H 5R9,North York,Toronto,Revival Time Tabernacle,43.762689370299995,-79.4664451058,POINT (-79.46644510580001 43.7626893703),York University Heights
28991,15,10133016,AFRICENTRIC ALTERNATIVE SCHOOL,Toronto District School Board,1430 SHEPPARD AVE W,English Public,10133016,1430,Sheppard Ave W,1430 Sheppard Ave W,M3M 2W9,North York,Toronto,Sheppard Public School,43.7454243556,-79.4882606578,POINT (-79.4882606578 43.7454243556),York University Heights
28993,17,3211411,AGINCOURT COLLEGIATE INSTITUTE,Toronto District School Board,2621 MIDLAND AVE,English Public,3211411,2621,Midland Ave,2621 Midland Ave,M1S 1R6,Scarborough,Toronto,Agincourt Collegiate Institute,43.788873844399994,-79.2789099587,POINT (-79.2789099587 43.78887384439999),Agincourt South-Malvern West
28994,18,382096,AGINCOURT INTERNATIONAL ACADEMY,,1001 SANDHURST CRCL,Private,382096,1001,Sandhurst Crcl,1001 Sandhurst Crcl,M1V 1Z6,Scarborough,Toronto,,43.8092576481,-79.26367712,POINT (-79.26367712 43.8092576481),Agincourt North
28995,19,356507,AGINCOURT JR PUBLIC SCHOOL,Toronto District School Board,29 LOCKIE AVE,English Public,356507,29,Lockie Ave,29 Lockie Ave,M1S 1N3,Scarborough,Toronto,Agincourt Junior Public School,43.7882592158,-79.2811623057,POINT (-79.28116230569999 43.7882592158),Agincourt South-Malvern West
28996,20,5479010,AGINCOURT MONTESSORI,,2575 MIDLAND AVE,Private,5479010,2575,Midland Ave,2575 Midland Ave,M1S 1R3,Scarborough,Toronto,,43.786443273,-79.27870418239999,POINT (-79.27870418239999 43.786443273),Agincourt South-Malvern West
28997,21,30022742,AGNES MCPHAIL PUBLIC SCHOOL,Toronto District School Board,112 GOLDHAWK TRL,English Public,30022742,112,Goldhawk Trl,112 Goldhawk Trl,M1V 1W5,Scarborough,Toronto,,43.8192689757,-79.2785533935,POINT (-79.2785533935 43.8192689757),Milliken
28998,22,10785753,AIM ACADEMY ISLAMIC SCHOOL,,56 BOUSTEAD AVE,Private,10785753,56,Boustead Ave,56 Boustead Ave,M6R 1Y9,former Toronto,Toronto,The Canadian Islamic Trust,43.653308868,-79.4544695238,POINT (-79.4544695238 43.653308868),High Park-Swansea
28999,23,2119588,AL AZHAR ISLAMIC SCHOOL,,100 MCLEVIN AVE,Private,2119588,100,McLevin Ave,100 McLevin Ave,M1B 5K1,Scarborough,Toronto,,43.801553947399995,-79.23657507989999,POINT (-79.23657507989999 43.8015539474),Malvern
29000,24,376316,AL HAADI SCHOOL,,690 PROGRESS AVE,Private,376316,690,Progress Ave,690 Progress Ave,M1H 3A6,Scarborough,Toronto,,43.777941595200005,-79.2484031068,POINT (-79.2484031068 43.77794159520001),Woburn
29001,25,1017314,AL IKHLAAS FOUNDATION SCHOOL,,1245 MARTIN GROVE RD,Private,1017314,1245,Martin Grove Rd,1245 Martin Grove Rd,M9W 4X2,Etobicoke,Toronto,,43.71095972649999,-79.5785365342,POINT (-79.5785365342 43.71095972649999),West Humber-Clairville
29002,26,385458,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - BRIMLEY,,4386 SHEPPARD AVE E,Private,385458,4386,Sheppard Ave E,4386 Sheppard Ave E,M1S 1T8,Scarborough,Toronto,,43.787469172,-79.27065163489999,POINT (-79.27065163489999 43.787469172),Agincourt South-Malvern West
29003,27,508045,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - NORTH YORK,,1470 DON MILLS RD,Private,508045,1470,Don Mills Rd,1470 Don Mills Rd,M3B 2X9,North York,Toronto,,43.753218181,-79.3477301744,POINT (-79.3477301744 43.753218181),Banbury-Don Mills
29004,28,9311804,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - SCARBOROUGH,,1065 MCNICOLL AVE,Private,9311804,1065,McNicoll Ave,1065 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,43.803681318100004,-79.3326615935,POINT (-79.33266159350001 43.8036813181),Steeles
29005,29,9655748,ALAZHAR ACADEMY OF CANADA,,2074 KIPLING AVE,Private,9655748,2074,Kipling Ave,2074 Kipling Ave,M9W 4J9,Etobicoke,Toronto,,43.7148769185,-79.56921162399999,POINT (-79.56921162399999 43.7148769185),West Humber-Clairville
29006,30,7531001,ALBERT CAMPBELL COLLEGIATE INSTITUTE,Toronto District School Board,1550 SANDHURST CRCL,English Public,7531001,1550,Sandhurst Crcl,1550 Sandhurst Crcl,M1V 1S6,Scarborough,Toronto,Albert Campbell Collegiate Institute,43.8092625383,-79.2724244729,POINT (-79.2724244729 43.8092625383),Agincourt North
29007,31,10133520,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,Toronto District School Board,45 LYNMONT RD,English Public,10133520,45,Lynmont Rd,45 Lynmont Rd,M9V 3W9,Etobicoke,Toronto,Albion Heights Public School,43.731388263999996,-79.5943154959,POINT (-79.59431549590001 43.731388264),West Humber-Clairville
29008,32,982437,ALBION LINC,Toronto District School Board,1530 ALBION RD,English Public,982437,1530,Albion Rd,1530 Albion Rd,M9V 1B4,Etobicoke,Toronto,,43.741762540500005,-79.58460213800001,POINT (-79.58460213800001 43.74176254050001),Mount Olive-Silverstone-Jamestown
29009,33,11125044,ALBORZ EDUCATION CENTRE SECONDARY SCHOOL,,20 TANGREEN CRT,Private,11125044,20,Tangreen Crt,20 Tangreen Crt,M2M 3Y9,North York,Toronto,,43.79549658,-79.4261936575,POINT (-79.42619365749999 43.79549658),Newtonbrook West
29010,34,10527839,ALEXANDER MUIR GLADSTONE AVENUE JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,108 GLADSTONE AVE,English Public,10527839,108,Gladstone Ave,108 Gladstone Ave,M6J 3L2,former Toronto,Toronto,Alexander Muir/Gladstone Ave Junior and Senior Public School,43.64602125060001,-79.4288472632,POINT (-79.4288472632 43.64602125060001),Little Portugal
29011,35,333733,ALEXANDER STIRLING PUBLIC SCHOOL,Toronto District School Board,70 FAWCETT TRL,English Public,333733,70,Fawcett Trl,70 Fawcett Trl,M1B 3A9,Scarborough,Toronto,Alexander Stirling Public School,43.8116563251,-79.2076059405,POINT (-79.2076059405 43.8116563251),Malvern
29012,36,300827,ALEXMUIR JUNIOR PUBLIC SCHOOL,Toronto District School Board,95 ALEXMUIR BLVD,English Public,300827,95,Alexmuir Blvd,95 Alexmuir Blvd,M1V 1H6,Scarborough,Toronto,Alexmuir Public School,43.8091093227,-79.2856134903,POINT (-79.28561349029999 43.8091093227),Agincourt North
29013,37,9779413,ALIF CANADA ELEMENTARY SCHOOL,,505 ELLESMERE RD,Private,9779413,505,Ellesmere Rd,505 Ellesmere Rd,M1R 4E5,Scarborough,Toronto,Vineyard Christian Fellowship-Sc,43.7621567551,-79.294921297,POINT (-79.294921297 43.7621567551),Wexford/Maryvale
29014,38,9345080,ALIVE CHRISTIAN ACADEMY INTERNATIONAL SCHOOL,,720 PROGRESS AVE,Private,9345080,720,Progress Ave,720 Progress Ave,M1H 2X3,Scarborough,Toronto,,43.7791840974,-79.246497022,POINT (-79.246497022 43.7791840974),Woburn
29015,39,1029710,ALL SAINTS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,1435 ROYAL YORK RD,English Separate,1029710,1435,Royal York Rd,1435 Royal York Rd,M9P 3A7,Etobicoke,Toronto,All Saints Catholic School,43.6852216298,-79.52708112180001,POINT (-79.52708112180001 43.6852216298),Humber Heights-Westmount
29016,40,873148,ALLENBY JUNIOR PUBLIC SCHOOL,Toronto District School Board,391 ST CLEMENTS AVE,English Public,873148,391,St Clements Ave,391 St Clements Ave,M5N 1M2,former Toronto,Toronto,Allenby Junior Public School,43.7094356429,-79.41278773180001,POINT (-79.41278773180001 43.7094356429),Lawrence Park South
29017,41,4368161,AL-MADRASAH AL-INAMYYAH,,3665 LAWRENCE AVE E,Private,4368161,3665,Lawrence Ave E,3665 Lawrence Ave E,M1G 1P7,Scarborough,Toronto,,43.7603212832,-79.2204196022,POINT (-79.2204196022 43.7603212832),Woburn
29018,42,3948771,ALPHA ALTERNATIVE JUNIOR SCHOOL,Toronto District School Board,20 BRANT ST,English Public,3948771,20,Brant St,20 Brant St,M5V 2M1,former Toronto,Toronto,Alpha Alternative Junior Public School,43.645722033199995,-79.39822258470001,POINT (-79.39822258470001 43.64572203319999),Waterfront Communities-The Island
29019,43,6710176,ALPHA II ALTERNATIVE SCHOOL,Toronto District School Board,1141 BLOOR ST W,English Public,6710176,1141,Bloor St W,1141 Bloor St W,M6H 1M9,former Toronto,Toronto,Bloor Collegiate Institute,43.659246108000005,-79.4367968964,POINT (-79.4367968964 43.659246108),Dufferin Grove
29020,44,30025396,ALPHA QUALITY EDUCATION INC,,6120A YONGE ST,Private,30025396,6120A,Yonge St,6120A Yonge St,M2M 3W7,North York,Toronto,,43.7916222613,-79.4189320716,POINT (-79.4189320716 43.7916222613),Newtonbrook West
29021,45,11512110,AL-QASIM ACADEMY,,3482 LAWRENCE AVE E,Private,11512110,3482,Lawrence Ave E,3482 Lawrence Ave E,M1H 3E5,Scarborough,Toronto,,43.760129163900004,-79.2270980416,POINT (-79.2270980416 43.7601291639),Woburn
29022,46,489054,AL-RASSOOL ISLAMIC SCHOOL,,120 BERMONDSEY RD,Private,489054,120,Bermondsey Rd,120 Bermondsey Rd,M4A 1X5,North York,Toronto,,43.717712821599996,-79.3146091354,POINT (-79.3146091354 43.7177128216),Victoria Village
29023,47,312808,ALTERNATIVE SCARBOROUGH EDUCATION ONE,Toronto District School Board,60 BRIMORTON DR,English Public,312808,60,Brimorton Dr,60 Brimorton Dr,M1P 3Z1,Scarborough,Toronto,St. Andrews Public School,43.7666452472,-79.2547962817,POINT (-79.2547962817 43.7666452472),Bendale
29025,49,9187246,AMAIRAH PRIVATE SCHOOL,,1625 ALBION RD,Private,9187246,1625,Albion Rd,1625 Albion Rd,M9V 5H8,Etobicoke,Toronto,,43.7417121222,-79.5945953168,POINT (-79.5945953168 43.7417121222),West Humber-Clairville
29026,50,20037304,AMANAH ISLAMIC ACADEMY,,1160 BIRCHMOUNT RD,Private,20037304,1160,Birchmount Rd,1160 Birchmount Rd,M1P 2B8,Scarborough,Toronto,,43.7411259867,-79.283828754,POINT (-79.283828754 43.7411259867),Wexford/Maryvale
29027,51,5145165,AMBERSON COLLEGE HIGH SCHOOL,,3470 PHARMACY AVE,Private,5145165,3470,Pharmacy Ave,3470 Pharmacy Ave,M1W 2S7,Scarborough,Toronto,,43.808911621099995,-79.3340562371,POINT (-79.3340562371 43.80891162109999),Steeles
29028,52,10035747,AMESBURY MIDDLE SCHOOL,Toronto District School Board,201 GRACEFIELD AVE,English Public,10035747,201,Gracefield Ave,201 Gracefield Ave,M6L 1L7,North York,Toronto,Amesbury Middle School,43.7084286283,-79.4932822328,POINT (-79.4932822328 43.7084286283),Rustic
29029,53,482522,ANCASTER PUBLIC SCHOOL,Toronto District School Board,44 ANCASTER RD,English Public,482522,44,Ancaster Rd,44 Ancaster Rd,M3K 1S6,North York,Toronto,Ancaster Public School,43.7328661717,-79.4669926272,POINT (-79.4669926272 43.7328661717),Downsview-Roding-CFB
29030,54,7992305,ANNETTE STREET JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,265 ANNETTE ST,English Public,7992305,265,Annette St,265 Annette St,M6P 1R3,former Toronto,Toronto,Annette Street Public School,43.6614231859,-79.47283127979999,POINT (-79.47283127979999 43.6614231859),High Park North
29031,55,485399,ANNUNCIATION CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,65 AVONWICK GT,English Separate,485399,65,Avonwick Gt,65 Avonwick Gt,M3A 2M8,North York,Toronto,Annunciation Catholic School,43.7531144811,-79.3210503279,POINT (-79.3210503279 43.7531144811),Parkwoods-Donalda
29032,56,358063,ANSON PARK PUBLIC SCHOOL,Toronto District School Board,30 MACDUFF CRES,English Public,358063,30,Macduff Cres,30 Macduff Cres,M1M 1X5,Scarborough,Toronto,Anson Park Public School,43.7261289166,-79.2411154202,POINT (-79.2411154202 43.7261289166),Cliffcrest
29033,57,374465,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL,Toronto District School Board,20 PLACENTIA BLVD,English Public,374465,20,Placentia Blvd,20 Placentia Blvd,M1S 4C5,Scarborough,Toronto,Anson S Taylor Junior Public School,43.8042919764,-79.2615613356,POINT (-79.26156133560001 43.8042919764),Agincourt North
29034,58,7131439,APOLLO HIGH SCHOOL,,5467 YONGE ST,Private,7131439,5467,Yonge St,5467 Yonge St,M2N 5S1,North York,Toronto,,43.77781656729999,-79.4147111813,POINT (-79.41471118130001 43.77781656729999),Willowdale East
29035,59,571348,APPLE ACADEMIC ACHIEVMENT CANADA,,488 VAN HORNE AVE,Private,571348,488,Van Horne Ave,488 Van Horne Ave,M2J 2V2,North York,Toronto,,43.787196072700006,-79.3398945338,POINT (-79.33989453380001 43.78719607270001),Pleasant View
29036,60,3107754,ARBOR GLEN PUBLIC SCHOOL,Toronto District School Board,55 FRESHMEADOW DR,English Public,3107754,55,Freshmeadow Dr,55 Freshmeadow Dr,M2H 3H6,North York,Toronto,Arbor Glen Public School,43.8094863867,-79.3557094448,POINT (-79.3557094448 43.8094863867),Hillcrest Village
29037,61,35493,ARISTOTELE'S CREDIT SCHOOL,,30 THORNCLIFFE PARK DR,Private,35493,30,Thorncliffe Park Dr,30 Thorncliffe Park Dr,M4H 1H8,East York,Toronto,St Demetrious Church,43.702958414099996,-79.3449506416,POINT (-79.34495064159999 43.7029584141),Thorncliffe Park
29038,62,561783,ARKANA EDUCATION - PRIVATE HIGH SCHOOL,,209 SHEPPARD AVE E,Private,561783,209,Sheppard Ave E,209 Sheppard Ave E,M2N 3A8,North York,Toronto,,43.7639158093,-79.3984878979,POINT (-79.3984878979 43.7639158093),Willowdale East
29039,63,576041,ARMOUR HEIGHTS PUBLIC SCHOOL,Toronto District School Board,148 WILSON AVE,English Public,576041,148,Wilson Ave,148 Wilson Ave,M5M 3A5,North York,Toronto,Armour Heights Public School,43.740910043199996,-79.4195222788,POINT (-79.4195222788 43.7409100432),Bedford Park-Nortown
29040,64,871450,ARROWSMITH SCHOOL - BLDG 1,,245 ST CLAIR AVE W,Private,871450,245,St Clair Ave W,245 St Clair Ave W,M4V 1R3,former Toronto,Toronto,,43.685489320500004,-79.4057974162,POINT (-79.4057974162 43.6854893205),Casa Loma
29041,65,871449,ARROWSMITH SCHOOL - BLDG 2,,243 ST CLAIR AVE W,Private,871449,243,St Clair Ave W,243 St Clair Ave W,M4V 1R3,former Toronto,Toronto,Russian Orthodox Church,43.685502802100004,-79.4056854013,POINT (-79.4056854013 43.6855028021),Casa Loma
29042,66,13516164,ASSOCIATED HEBREW JR SCHOOL - POSLUNS CAMPUS,,18 NEPTUNE DR,Private,13516164,18,Neptune Dr,18 Neptune Dr,M6A 1X1,North York,Toronto,,43.731499395200004,-79.4342526359,POINT (-79.43425263589999 43.7314993952),Englemount-Lawrence
29043,67,11129594,ASSOCIATED HEBREW MIDDLE SCHOOL - HURWICH CAMPUS,,252 FINCH AVE W,Private,11129594,252,Finch Ave W,252 Finch Ave W,M2R 1M9,North York,Toronto,,43.7753161016,-79.4384699547,POINT (-79.4384699547 43.7753161016),Newtonbrook West
29044,68,13977971,AVALON CHILDREN'S MONTESSORI,,2181 QUEEN ST E,Private,13977971,2181,Queen St E,2181 Queen St E,M4E 1E5,former Toronto,Toronto,,43.6704133895,-79.2973253011,POINT (-79.2973253011 43.6704133895),The Beaches
29045,69,485329,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL,Toronto District School Board,171 AVONDALE AVE,English Public,485329,171,Avondale Ave,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,43.759678414300005,-79.4000020943,POINT (-79.40000209430001 43.75967841430001),Willowdale East
29046,70,7315504,AVONDALE ALTERNATIVE SECONDARY SCHOOL,Toronto District School Board,24 SILVERVIEW DR,English Public,7315504,24,Silverview Dr,24 Silverview Dr,M2M 2B3,North York,Toronto,Griffin Centre,43.78630651060001,-79.4118431542,POINT (-79.4118431542 43.78630651060001),Newtonbrook East
29047,71,485329,AVONDALE PUBLIC SCHOOL,Toronto District School Board,171 AVONDALE AVE,English Public,485329,171,Avondale Ave,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,43.759678414300005,-79.4000020943,POINT (-79.40000209430001 43.75967841430001),Willowdale East
29048,72,1368930,AVRO ACADEMY,,1640A AVENUE RD,Private,1368930,1640A,Avenue Rd,1640A Avenue Rd,M5M 3X9,North York,Toronto,,43.725989843,-79.4174202536,POINT (-79.4174202536 43.725989843),Bedford Park-Nortown
29049,73,9171677,BAIS CHAYA MUSHKA GIRLS,,4375 CHESSWOOD DR,Private,9171677,4375,Chesswood Dr,4375 Chesswood Dr,M3J 2C2,North York,Toronto,,43.760708226400006,-79.4774419814,POINT (-79.47744198140001 43.76070822640001),York University Heights
29050,74,487179,BAIS CHOMESH HS FOR GIRLS,,3600 BATHURST ST,Private,487179,3600,Bathurst St,3600 Bathurst St,M6A 2C9,North York,Toronto,Shaarei Tefillah Congregation,43.7311158004,-79.4330769431,POINT (-79.4330769431 43.7311158004),Englemount-Lawrence
29051,75,559733,BAIS YAAKOV ELEMENTARY SCHOOL,,15 SARANAC BLVD,Private,559733,15,Saranac Blvd,15 Saranac Blvd,M6A 2G4,North York,Toronto,Bais Yaakov School,43.7214292567,-79.4318694439,POINT (-79.4318694439 43.7214292567),Englemount-Lawrence
29052,76,325461,BAITUL MUKARRAM ACADEMY SCHOOL,,3334 DANFORTH AVE,Private,325461,3334,Danforth Ave,3334 Danforth Ave,M1L 1C6,Scarborough,Toronto,,43.6937302132,-79.2781378251,POINT (-79.2781378251 43.6937302132),Oakridge
29053,77,9848255,BALA AVENUE COMMUNITY SCHOOL,Toronto District School Board,6 BALA AVE,English Public,9848255,6,Bala Ave,6 Bala Ave,M6M 2E1,York,Toronto,Bala Avenue School,43.6894622238,-79.4990122716,POINT (-79.49901227159999 43.6894622238),Mount Dennis
29054,78,62453,BALANCED EDUCATION NETWORK B.E.N. SCHOOL,,394 HARVIE AVE,Private,62453,394,Harvie Ave,394 Harvie Ave,M6E 4L8,York,Toronto,,43.68753531350001,-79.4546890976,POINT (-79.4546890976 43.68753531350001),Caledonia-Fairbank
29055,79,7667200,BALMY BEACH COMMUNITY SCHOOL,Toronto District School Board,14 PINE AVE,English Public,7667200,14,Pine Ave,14 Pine Ave,M4E 1L6,former Toronto,Toronto,"Balmy Beach Community School, Balmy Beach Community Recreation Centre",43.6764359195,-79.2898269415,POINT (-79.2898269415 43.6764359195),The Beaches
29056,80,486277,BANNOCKBURN MONTESSORI,,12 BANNOCKBURN AVE,Private,486277,12,Bannockburn Ave,12 Bannockburn Ave,M5M 2M8,North York,Toronto,,43.7340229972,-79.4220900215,POINT (-79.4220900215 43.7340229972),Bedford Park-Nortown
29057,81,338836,BANTING AND BEST PUBLIC SCHOOL,Toronto District School Board,380 GOLDHAWK TRL,English Public,338836,380,Goldhawk Trl,380 Goldhawk Trl,M1V 4E7,Scarborough,Toronto,Banting & Best Public School,43.8268714163,-79.27983350390001,POINT (-79.27983350390001 43.8268714163),Milliken
29058,82,514037,BAY SCHOOL OF CANADA,,245 FAIRVIEW MALL DR,Private,514037,245,Fairview Mall Dr,245 Fairview Mall Dr,M2J 4T1,North York,Toronto,,43.779729054200004,-79.3418613935,POINT (-79.3418613935 43.7797290542),Don Valley Village
29059,83,487550,BAYCREST PUBLIC SCHOOL,Toronto District School Board,145 BAYCREST AVE,English Public,487550,145,Baycrest Ave,145 Baycrest Ave,M6A 1W4,North York,Toronto,Baycrest Public School,43.7266057772,-79.4442515074,POINT (-79.4442515074 43.7266057772),Englemount-Lawrence
29060,84,11414990,BAYVIEW GLEN PRIVATE SCHOOL,,85 MOATFIELD DR,Private,11414990,85,Moatfield Dr,85 Moatfield Dr,M3B 3L6,North York,Toronto,,43.7590325568,-79.35183368060001,POINT (-79.35183368060001 43.7590325568),St.Andrew-Windfields
29061,85,7963754,BAYVIEW MIDDLE SCHOOL,Toronto District School Board,25 BUNTY LANE,English Public,7963754,25,Bunty Lane,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,43.776262226499995,-79.38529467880001,POINT (-79.38529467880001 43.77626222649999),Bayview Village
29062,86,876040,BEACHES ALTERNATIVE JUNIOR SCHOOL,Toronto District School Board,50 SWANWICK AVE,English Public,876040,50,Swanwick Ave,50 Swanwick Ave,M4E 1Z5,former Toronto,Toronto,Kimberly Public School Junior,43.682619972299996,-79.299127884,POINT (-79.299127884 43.6826199723),East End-Danforth
29063,87,7640837,BEACON OF LIGHT PRIVATE ELEMENTARY SCHOOL,,2191 GERRARD ST E,Private,7640837,2191,Gerrard St E,2191 Gerrard St E,M4E 2C6,former Toronto,Toronto,,43.6835603974,-79.3008280647,POINT (-79.3008280647 43.6835603974),East End-Danforth
29064,88,1019694,BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL,Toronto District School Board,70 MONTERREY DR,English Public,1019694,70,Monterrey Dr,70 Monterrey Dr,M9V 1T1,Etobicoke,Toronto,Beaumonde Heights Public School,43.74260355649999,-79.5747551862,POINT (-79.57475518619999 43.74260355649999),Thistletown-Beaumond Heights
29065,89,7792874,BEDFORD PARK PUBLIC SCHOOL,Toronto District School Board,81 RANLEIGH AVE,English Public,7792874,81,Ranleigh Ave,81 Ranleigh Ave,M4N 1X2,former Toronto,Toronto,Bedford Park Community Centre - Building Grounds,43.727798258199996,-79.4002783724,POINT (-79.4002783724 43.7277982582),Lawrence Park North
29066,90,9085421,"BEHAVIOUR INNOVATIONS, CHILDREN'S COLLEGE",,618 THE QUEENSWAY,Private,9085421,618,The Queensway,618 The Queensway,M8Y 1K3,Etobicoke,Toronto,,43.628181961,-79.4954821417,POINT (-79.49548214169999 43.628181961),Stonegate-Queensway
29067,91,11485082,BEHTUNE MEMORIAL SCHOOL,,3000 LAWRENCE AVE E,Private,11485082,3000,Lawrence Ave E,3000 Lawrence Ave E,M1P 2V1,Scarborough,Toronto,,43.7553058764,-79.2496002394,POINT (-79.2496002394 43.7553058764),Bendale
29068,92,312976,BELLMERE JUNIOR PUBLIC SCHOOL,Toronto District School Board,470 BRIMORTON DR,English Public,312976,470,Brimorton Dr,470 Brimorton Dr,M1H 2E6,Scarborough,Toronto,Bellmere Junior Public School,43.7719692864,-79.2351468752,POINT (-79.2351468752 43.7719692864),Woburn
29069,93,386802,BEN HEPPNER VOCAL MUSIC ACADEMY,Toronto District School Board,80 SLAN AVE,English Public,386802,80,Slan Ave,80 Slan Ave,M1G 3B5,Scarborough,Toronto,Heather Heights Junior Public School,43.7751558784,-79.2150687264,POINT (-79.21506872640001 43.7751558784),Morningside
29070,94,307066,BENDALE JUNIOR PUBLIC SCHOOL,Toronto District School Board,61 BENSHIRE DR,English Public,307066,61,Benshire Dr,61 Benshire Dr,M1H 1M4,Scarborough,Toronto,Bendale Junior Public School,43.7625671184,-79.2448802576,POINT (-79.2448802576 43.7625671184),Woburn
29071,95,2945619,BENNINGTON HEIGHTS ELEMENTARY SCHOOL,Toronto District School Board,76 BENNINGTON HEIGHTS DR,English Public,2945619,76,Bennington Heights Dr,76 Bennington Heights Dr,M4G 1B1,East York,Toronto,Bennington Heights School,43.693985400699994,-79.36877808199999,POINT (-79.36877808199999 43.69398540069999),Leaside-Bennington
29072,96,3563886,BERKELEY ACADEMY OF CANADA,,5734 YONGE ST,Private,3563886,5734,Yonge St,5734 Yonge St,M2M 4E7,North York,Toronto,,43.7827541057,-79.416860598,POINT (-79.416860598 43.7827541057),Newtonbrook West
