Neighbourhood,LatinAmerican,Totalvisibleminoritypopulation,SouthAsian,Chinese,Black,Filipino,Arab,SoutheastAsian,WestAsian,Korean,Japanese,Visibleminority,Multiplevisibleminorities,Notavisibleminority
Church-Yonge Corridor,695,12440,2510,3835,1465,755,625,320,500,665,235,215,595,17880
Clairlea-Birchmount,375,16110,6140,2120,2670,3140,160,250,185,110,180,370,405,10185
Clanton Park,255,6305,400,500,560,3315,155,210,165,175,50,120,415,10115
Cliffcrest,135,6570,3000,765,990,775,80,60,165,55,90,180,280,9235
Corso Italia-Davenport,1135,3545,325,445,655,370,45,95,80,65,60,65,185,10570
Danforth,85,2480,705,820,340,90,25,65,30,65,90,45,120,7110
Danforth East York,300,5090,1030,1530,700,440,95,140,155,140,260,70,245,11985
Don Valley Village,550,19025,2890,6960,1285,2170,885,190,2450,835,135,140,520,7795
Dorset Park,270,18940,7245,2745,2205,3430,810,265,795,25,65,555,535,5440
Dovercourt-Wallace Emerson-Junction,1510,12275,2105,2825,2110,610,180,1000,210,435,245,425,645,23935
Downsview-Roding-CFB,3605,20070,1380,780,5455,4535,255,2065,510,130,50,400,895,14945
Dufferin Grove,490,3630,665,845,595,170,90,235,45,120,60,150,165,8080
East End-Danforth,275,6475,1700,1325,1285,685,145,95,155,190,165,215,230,14535
Edenbridge-Humber Valley,675,3230,390,370,795,200,100,55,55,270,100,85,135,11980
Eglinton East,400,17375,6490,895,4130,2970,240,195,555,40,65,950,455,4880
Elms-Old Rexdale,765,6365,840,105,2930,465,40,370,285,105,15,210,245,3085
Englemount-Lawrence,550,8855,365,390,2305,3950,90,215,180,175,25,190,405,13030
Eringate-Centennial-West Deane,400,5130,1275,790,975,445,145,110,125,390,100,65,275,13395
Etobicoke West Mall,445,4520,1165,335,790,635,170,155,290,295,30,115,100,6950
Flemingdon Park,390,17220,7650,1015,2130,2270,370,230,2190,250,45,255,430,4695
Forest Hill North,420,3570,170,265,500,1595,65,20,165,115,55,70,120,9100
Forest Hill South,140,1775,245,460,205,335,40,75,90,45,35,10,105,8820
Glenfield-Jane Heights,3680,23155,2150,1170,7360,1515,345,3985,425,10,10,1435,1090,7065
Greenwood-Coxwell,205,5625,1070,2090,940,300,80,190,85,85,125,70,380,8755
Guildwood,120,2870,815,275,625,490,30,70,45,45,100,100,160,6785
Henry Farm,365,12030,3365,3080,810,1200,805,115,1255,445,50,175,380,3680
High Park North,690,5185,950,830,755,380,225,185,220,380,175,125,270,16640
High Park-Swansea,475,4465,800,740,855,325,150,240,85,270,150,110,275,18885
Highland Creek,205,9290,4515,955,1550,805,85,85,100,130,35,535,270,3185
Hillcrest Village,220,12785,1525,8225,620,305,180,90,650,650,60,60,205,4130
Humber Heights-Westmount,485,2745,325,100,1150,170,50,25,60,135,0,90,180,7365
Humber Summit,895,8140,3590,135,1835,345,205,440,255,45,0,235,170,4265
Humbermede,1830,11970,3275,375,3440,880,155,1085,145,65,35,400,290,3565
Humewood-Cedarvale,530,4095,320,295,710,1435,115,80,55,150,120,90,200,10125
Ionview,225,9950,3730,600,1705,2400,235,135,175,35,10,405,320,3660
Islington-City Centre West,1330,16035,3525,1875,3055,1675,680,490,530,1620,195,570,530,27195
Junction Area,490,4160,525,885,550,615,30,395,35,70,115,205,245,9925
Keelesdale-Eglinton West,910,4700,915,160,1195,760,25,335,75,20,40,55,210,6350
Kennedy Park,250,11885,4165,1035,2130,2590,165,240,175,50,75,540,475,5215
Kensington-Chinatown,315,10520,760,6075,880,445,300,585,195,330,220,135,265,6940
Kingsview Village-The Westway,980,13130,3630,410,5340,685,275,270,535,210,35,325,425,8835
Kingsway South,55,1100,205,300,80,110,20,25,40,135,45,0,95,8060
Lambton Baby Point,150,1950,270,175,835,170,40,35,55,50,10,45,120,6030
L'Amoreaux,415,33540,7240,16165,3625,2495,990,280,790,195,145,435,790,9945
Lansing-Westgate,240,6930,1005,1740,405,1045,185,90,975,875,70,75,200,9140
Lawrence Park North,100,3110,355,1195,220,260,20,115,185,300,135,20,220,11455
Lawrence Park South,110,2560,315,865,240,295,30,45,245,125,60,50,185,12560
Leaside-Bennington,140,2935,450,1025,280,225,75,85,160,200,75,55,170,13710
Little Portugal,455,4265,445,1435,640,190,55,325,85,180,120,95,245,10790
Long Branch,255,2305,330,200,470,410,55,125,105,15,20,225,85,7760
Malvern,770,39195,17465,3275,8295,4830,365,200,650,75,30,1805,1420,4580
Maple Leaf,645,4300,985,140,790,1200,35,270,10,45,20,55,100,5565
Markland Wood,135,1395,230,260,180,100,45,50,50,245,40,35,35,9060
Milliken,35,25165,3080,18715,1070,1015,165,240,130,0,35,150,540,900
Mimico (includes Humber Bay Shores),985,10395,1865,1635,1730,1145,340,405,335,515,200,760,445,22915
Morningside,345,12865,5155,880,3065,1865,135,210,270,65,65,440,355,4290
Moss Park,395,7860,1315,1435,2590,425,260,340,280,175,105,215,320,10595
Mount Dennis,1380,9005,510,310,4360,860,75,655,95,155,45,285,285,4255
Mount Olive-Silverstone-Jamestown,1085,28455,11095,285,8390,815,2650,590,1415,70,10,1445,610,4375
Mount Pleasant East,285,3825,680,990,470,405,60,50,245,240,145,50,215,12930
Mount Pleasant West,950,9730,1895,1515,1185,1055,410,115,1125,745,240,210,270,19200
New Toronto,290,3615,590,340,1250,405,95,105,30,50,65,220,180,7675
Newtonbrook East,165,11215,745,4830,205,465,150,110,2320,1920,70,20,210,4320
Newtonbrook West,360,13825,1025,2650,485,4355,105,185,1875,2210,100,120,345,9805
Niagara,1005,10665,2210,2260,1635,780,490,365,365,475,180,295,610,19765
North Riverdale,130,2815,405,1230,330,135,10,105,30,25,140,75,190,8875
North St.James Town,615,12270,3770,890,2115,2800,395,270,380,325,85,310,325,6075
Oakridge,145,10250,4800,705,2500,675,125,125,600,30,25,240,280,3365
Oakwood Village,1325,9045,625,880,2720,1910,110,385,145,120,125,260,440,11910
O'Connor-Parkview,340,6975,1730,635,1865,1120,155,100,435,100,145,115,230,11520
Old East York,110,2470,295,745,265,430,30,190,100,55,65,60,115,6750
Palmerston-Little Italy,240,2950,395,1135,330,95,55,85,75,200,125,75,140,10810
Parkwoods-Donalda,1025,19075,3610,2875,3910,2435,1515,195,1600,580,225,415,700,15655
Pelmo Park-Humberlea,820,4675,750,230,1200,485,55,705,45,30,20,140,175,6035
Playter Estates-Danforth,125,1560,240,505,190,90,40,60,25,40,130,50,65,6085
Pleasant View,145,10155,1310,5630,745,610,405,125,480,250,110,85,230,5660
Princess-Rosethorn,165,2105,590,500,160,90,20,75,85,220,55,45,100,8945
Regent Park,285,7470,2770,1350,1465,305,250,390,175,75,30,110,255,3205
Rexdale-Kipling,850,5365,1420,165,1470,515,110,170,215,10,35,235,170,4990
Rockcliffe-Smythe,2200,10225,990,465,3400,785,145,1285,85,55,90,330,390,12000
Roncesvalles,290,3795,835,560,770,300,60,315,30,70,95,295,180,11080
Rosedale-Moore Park,270,3740,605,1150,395,210,155,45,235,300,135,65,190,16880
Rouge,495,37315,20175,2100,6525,4095,395,295,535,65,105,1255,1270,8750
Runnymede-Bloor West Village,120,1600,245,365,215,145,20,50,25,115,135,75,75,8465
Rustic,735,5810,420,135,3455,355,45,260,30,0,0,120,240,3945
Scarborough Village,280,12065,5520,390,3330,950,140,70,570,20,20,385,400,4370
South Parkdale,515,9920,1830,680,2105,1505,165,680,145,100,60,1600,535,10730
South Riverdale,310,11225,1170,5800,1380,565,160,650,130,165,175,165,545,15815
St.Andrew-Windfields,305,8940,1075,3845,660,395,185,70,1120,820,145,80,230,8735
Steeles,30,22075,1560,17755,595,595,515,170,110,120,60,125,440,2200
Stonegate-Queensway,400,4595,925,565,585,510,110,275,175,230,150,400,275,20310
Tam O'Shanter-Sullivan,360,20325,4690,8665,1860,2145,570,165,425,255,175,370,640,6705
Taylor-Massey,215,10355,5975,675,1535,670,115,175,260,160,55,285,240,5125
The Beaches,215,2980,645,615,345,230,90,160,55,115,110,140,260,18465
Thistletown-Beaumond Heights,660,6510,2555,110,1645,305,380,120,250,40,15,285,160,3615
Thorncliffe Park,305,16495,9845,435,1115,1505,685,95,1795,130,20,165,405,4345
Trinity-Bellwoods,190,4820,280,3225,320,140,65,165,50,65,80,65,160,11410
University,120,2205,395,835,180,140,40,80,40,165,105,20,80,4470
Victoria Village,430,10155,2985,730,2075,1240,1070,95,720,160,75,265,310,7035
Waterfront Communities-The Island,1405,28895,6735,9020,3650,1380,1440,675,1300,1055,555,460,1240,36715
West Hill,555,17075,5060,685,5835,2330,115,215,510,80,55,925,695,9885
West Humber-Clairville,1300,26945,13920,470,6260,1615,240,490,300,60,60,1535,685,5940
Westminster-Branson,450,11715,720,775,1050,5990,270,120,850,925,105,150,300,14410
Weston,1390,10755,765,335,6045,590,120,550,145,75,65,280,390,6925
Weston-Pellam Park,780,4210,410,285,1255,315,80,495,30,10,30,275,255,6885
Wexford/Maryvale,600,15285,4195,1910,2055,3405,1185,215,535,190,70,395,530,12270
Willowdale East,825,37715,3375,16980,1135,845,1320,385,5985,5255,665,135,810,12545
Willowdale West,190,9630,860,3655,220,265,190,170,1730,1930,145,60,220,7040
Willowridge-Martingrove-Richview,935,8870,2340,515,2960,645,135,110,150,410,90,340,260,13270
Woburn,745,40510,21545,3715,5835,4090,610,315,1320,210,100,1000,1025,12495
Woodbine Corridor,140,3380,610,1025,775,235,40,75,30,50,100,55,230,9050
Woodbine-Lumsden,155,2435,345,730,475,290,45,55,30,65,70,80,110,5415
Wychwood,445,3635,255,805,865,440,95,165,55,135,60,70,260,9605
Yonge-Eglinton,220,3155,445,980,295,290,105,75,215,250,115,50,140,8650
Yonge-St.Clair,160,2555,560,575,235,230,125,50,190,135,115,65,120,9740
York University Heights,1765,19135,4180,1500,5205,2645,280,1375,605,390,30,535,620,8430
Yorkdale-Glen Park,710,6340,865,850,1460,1110,50,535,50,55,40,235,350,7695
